_id,author,theme,title
63bf7cd728ff38edfcbc4ba3,Elizabeth Barrett Browning,Love,How Do I Love Thee? (Sonnet 43)
63bf7cd728ff38edfcbc4ba4,William Shakespeare,Love,Shall I compare thee to a summer’s day? (Sonnet 18)
63bf7cd728ff38edfcbc4ba5,Frank O’Hara,Love,Having a Coke with You
63bf7cd728ff38edfcbc4ba6,E. E. Cummings,Love,"somewhere i have never travelled,gladly beyond"
63bf7cd728ff38edfcbc4ba7,Donika Kelly,Love,The moon rose over the bay. I had a lot of feelings.
63bf7cd728ff38edfcbc4ba8,Henry Wadsworth Longfellow,Love,Evangeline: A Tale of Acadie
63bf7cd728ff38edfcbc4ba9,Kahlil Gibran,Love,On Love
63bf7cd728ff38edfcbc4baa,W. H. Auden,Love,As I Walked Out One Evening
63bf7cd728ff38edfcbc4bab,Rita Dove,Love,Heart to Heart
63bf7cd728ff38edfcbc4bac,William Shakespeare,Love,My mistress&#039; eyes are nothing like the sun (Sonnet 130)
63bf7cd728ff38edfcbc4bad,Ada Limón,Love,The Raincoat
63bf7cd728ff38edfcbc4bae,Seamus Heaney,Love,Scaffolding
63bf7cd728ff38edfcbc4baf,Emily Dickinson,Love,I cannot live with You (640)
63bf7cd728ff38edfcbc4bb0,George Gordon Byron,Love,She Walks in Beauty
63bf7cd728ff38edfcbc4bb1,Sarah Cooper,Love,Elastic Love Contrapuntal
63bf7cd728ff38edfcbc4bb2,Monica Sok,Love,Retirement
63bf7cd728ff38edfcbc4bb3,Anne Haven McDonnell,Love,Owl
63bf7cd728ff38edfcbc4bb4,Jessica Jacobs,Love,A Question to Ask Once the Honeymoon is Over
63bf7cd728ff38edfcbc4bb5,Jessica Jacobs,Love,Nude Series VIII
63bf7cd728ff38edfcbc4bb6,John Rollin Ridge,Love,The Harp of Broken Strings
63bf7cd728ff38edfcbc4bb7,Tara Betts,Love,Untitled for a Reason
63bf7cd728ff38edfcbc4bb8,Jada Renée Allen,Love,Tendril
63bf7cd728ff38edfcbc4bb9,Emily Pauline Johnson,Love,A Prodigal 
63bf7cd728ff38edfcbc4bba,Emily Pauline Johnson,Love,Lady Lorgnette
63bf7cd728ff38edfcbc4bbb,Emily Pauline Johnson,Love,My English Letter
63bf7cd728ff38edfcbc4bbc,Emily Pauline Johnson,Love,Re-Voyage
63bf7cd728ff38edfcbc4bbd,Boderra Joe,Love,Curve Waves
63bf7cd728ff38edfcbc4bbe,Chip Livingston,Love,There Is No San Lenín
63bf7cd728ff38edfcbc4bbf,Mónica Gomery,Love,Ghazal for a First Lover
63bf7cd728ff38edfcbc4bc0,James Cagney,Love,Love Is Easier the Headless Way
63bf7cd728ff38edfcbc4bc1,Oswaldo Vargas,Love,Mister
63bf7cd728ff38edfcbc4bc2,Dujie Tahat,Love,On Desire
63bf7cd728ff38edfcbc4bc3,Luis G. Dato,Love,Love
63bf7cd728ff38edfcbc4bc4,Luis G. Dato,Love,Awakening
63bf7cd728ff38edfcbc4bc5,John Clare,Love,An Invite to Eternity
63bf7cd728ff38edfcbc4bc6,Luis G. Dato,Love,Unforgotten 
63bf7cd728ff38edfcbc4bc7,Luis G. Dato,Love,Lost Glimpses
63bf7cd728ff38edfcbc4bc8,Luis G. Dato,Love,Sonnet [Our days in swift succession bid us on]
63bf7cd728ff38edfcbc4bc9,Luis G. Dato,Love,Mirage
63bf7cd728ff38edfcbc4bca,Luis G. Dato,Love,Parting
63bf7cd728ff38edfcbc4bcb,Luis G. Dato,Love,Delirium 
63bf7cd728ff38edfcbc4bcc,Luis G. Dato,Love,Pagan Passion
63bf7cd728ff38edfcbc4bcd,Thomas Hardy,Love,The Shadow on the Stone
63bf7cd728ff38edfcbc4bce,Ariana Brown,Love,For everyone who tried on the slipper before Cinderella
63bf7cd728ff38edfcbc4bcf,Rafael Arévalo Martínez,Love,My Life Is a Memory
63bf7cd728ff38edfcbc4bd0,Rufino Blanco Fombona,Love,By the Sea
63bf7cd728ff38edfcbc4bd1,Rufino Blanco Fombona,Love,Escape
63bf7cd728ff38edfcbc4bd2,Pedro J. Naón,Love,The Fugitive 
63bf7cd728ff38edfcbc4bd3,Hermogénes Irisarri,Love,Love
63bf7cd728ff38edfcbc4bd4,Zahid M. Naser,Love,kretek-ing
63bf7cd728ff38edfcbc4bd5,Scott Hightower,Love,Last Privacy
63bf7cd728ff38edfcbc4bd6,Marcantonio Flaminio,Love,Fête Gallante
63bf7cd728ff38edfcbc4bd7,John Wieners,Love,In Public 
63bf7cd728ff38edfcbc4bd8,John Wieners,Love,Forthcoming 
63bf7cd728ff38edfcbc4bd9,John Wieners,Love,Loss
63bf7cd728ff38edfcbc4bda,John Wieners,Love,The blind see only this world / (A Christmas Card 
63bf7cd728ff38edfcbc4bdb,John Wieners,Love,For Huncke 
63bf7cd728ff38edfcbc4bdc,John Wieners,Love,Act #2
63bf7cd728ff38edfcbc4bdd,Arisa White,Love,​​Curious and Counting
63bf7cd728ff38edfcbc4bde,Emma Trelles,Love,The Function of a Wing
63bf7cd728ff38edfcbc4bdf,Emma Trelles,Love,Corazón in Fall
63bf7cd728ff38edfcbc4be0,Luther Hughes,Love,[Like the Japanese cherry blossoms wedded to the soil’s palm]
63bf7cd728ff38edfcbc4be1,Else Lasker-Schüler,Love,Reconciliation
63bf7cd728ff38edfcbc4be2,Crystal Wilkinson,Love,Witness 
63bf7cd728ff38edfcbc4be3,Matt Mason,Love,Untitled Poem For Sarah
63bf7cd728ff38edfcbc4be4,Anne Reeve Aldrich,Love,Rose Song
63bf7cd728ff38edfcbc4be5,Rajiv Mohabir,Love,Give Me a Boat That Can Carry Two
63bf7cd728ff38edfcbc4be6,B. K. Fischer,Love,Week 30 (Maternity Bathing Suit)
63bf7cd728ff38edfcbc4be7,Andru Defeye,Love,Self Addressed
63bf7cd728ff38edfcbc4be8,Lynne Thompson,Love,"Seed of Mango, Seed of Maize"
63bf7cd728ff38edfcbc4be9,Lynne Thompson,Love,Langston Won&#039;t Stay In His Grave
63bf7cd728ff38edfcbc4bea,Jennifer Firestone,Love,from “Consequences of a Heavy Heart”
63bf7cd728ff38edfcbc4beb,Julia B. Levine,Love,Netherland 
63bf7cd728ff38edfcbc4bec,Holly Karapetkova,Love,The Woman Who Wanted a Child 
63bf7cd728ff38edfcbc4bed,Andru Defeye,Love,Enough
63bf7cd728ff38edfcbc4bee,Bryher,Love,The Pool
63bf7cd728ff38edfcbc4bef,Charles Bertram Johnson,Love,A Little Cabin
63bf7cd728ff38edfcbc4bf0,Countee Cullen,Love,Timid Lover
63bf7cd728ff38edfcbc4bf1,Countee Cullen,Love,Uncle Jim
63bf7cd728ff38edfcbc4bf2,Sterling A. Brown,Love,Long Gone
63bf7cd728ff38edfcbc4bf3,Sterling A. Brown,Love,Effie
63bf7cd728ff38edfcbc4bf4,Amy Lowell,Love,A Decade
63bf7cd728ff38edfcbc4bf5,Helene Johnson,Love,Remember Not
63bf7cd728ff38edfcbc4bf6,Waring Cuney,Love,Burial of the Young Love
63bf7cd728ff38edfcbc4bf7,Waring Cuney,Love,Finis
63bf7cd728ff38edfcbc4bf8,Kaveh Akbar,Love,Love Poem with Bighead
63bf7cd728ff38edfcbc4bf9,Elsa Gidlow,Love,As Usual
63bf7cd728ff38edfcbc4bfa,Elsa Gidlow,Love,This Is Not Love
63bf7cd728ff38edfcbc4bfb,Elsa Gidlow,Love,Experience 
63bf7cd728ff38edfcbc4bfc,Elsa Gidlow,Love,Come And Lie With Me
63bf7cd728ff38edfcbc4bfd,Elsa Gidlow,Love,Grain and Grapes 
63bf7cd728ff38edfcbc4bfe,Claude McKay,Love,Commemoration
63bf7cd728ff38edfcbc4bff,Elsa Gidlow,Love,Chance 
63bf7cd728ff38edfcbc4c00,Elsa Gidlow,Love,To a Young Dancing Girl 
63bf7cd728ff38edfcbc4c01,Elsa Gidlow,Love,Poppy Song
63bf7cd728ff38edfcbc4c02,Elsa Gidlow,Love,Dawn
63bf7cd728ff38edfcbc4c03,Elsa Gidlow,Love,Chant of Spring 
63bf7cd728ff38edfcbc4c04,Elsa Gidlow,Love,The Face in the Rain
63bf7cd728ff38edfcbc4c05,Elsa Gidlow,Love,Relinquishment
63bf7cd728ff38edfcbc4c06,Elsa Gidlow,Love,Mnasidika
63bf7cd728ff38edfcbc4c07,Elsa Gidlow,Love,Constancy
63bf7cd728ff38edfcbc4c08,Elsa Gidlow,Love,When Love Becomes a Stranger 
63bf7cd728ff38edfcbc4c09,Elsa Gidlow,Love,Love Sleep 
63bf7cd728ff38edfcbc4c0a,John Wesley Holloway,Love,Miss Melerlee
63bf7cd728ff38edfcbc4c0b,Elsa Gidlow,Love,You Are Not She 
63bf7cd728ff38edfcbc4c0c,Elsa Gidlow,Love,Love Song 
63bf7cd728ff38edfcbc4c0d,Elsa Gidlow,Love,Sudden Friendship
63bf7cd728ff38edfcbc4c0e,Maria Lisella,Love,We 
63bf7cd728ff38edfcbc4c0f,Bruce Nugent,Love,My Love
63bf7cd728ff38edfcbc4c10,Sappho,Love,One Girl
63bf7cd728ff38edfcbc4c11,Elsa Gidlow,Love,Of a Certain Friendship
63bf7cd728ff38edfcbc4c12,Sadakichi Hartmann,Love,Love By The Sea #2
63bf7cd728ff38edfcbc4c13,Sadakichi Hartmann,Love,Twilight Hours
63bf7cd728ff38edfcbc4c14,William Stanley Braithwaite,Love,Sic Vita
63bf7cd728ff38edfcbc4c15,William Stanley Braithwaite,Love,Sandy Star
63bf7cd728ff38edfcbc4c16,William Stanley Braithwaite,Love,Sandy Star and Willie Gee
63bf7cd728ff38edfcbc4c17,Sadakichi Hartmann,Love,Why I No Longer Love Thee?
63bf7cd728ff38edfcbc4c18,George Marion McClellan,Love,The Feet of Judas
63bf7cd728ff38edfcbc4c19,Hart Crane,Love,Voyages V
63bf7cd728ff38edfcbc4c1a,William Moore,Love,Dusk Song
63bf7cd728ff38edfcbc4c1b,William Moore,Love,It Was Not Fate
63bf7cd728ff38edfcbc4c1c,Haʻåni Lucia Falo San Nicolas,Love,By Your Hand
63bf7cd728ff38edfcbc4c1d,James D. Corrothers,Love,The Negro Singer
63bf7cd728ff38edfcbc4c1e,James D. Corrothers,Love,Paul Laurence Dunbar
63bf7cd728ff38edfcbc4c1f,James Edwin Campbell,Love,Compensation
63bf7cd728ff38edfcbc4c20,Ameen Rihani,Love,Lebanus
63bf7cd728ff38edfcbc4c21,Donovan Kūhiō Colleps,Love,Our Red Road
63bf7cd728ff38edfcbc4c22,Ono no Komachi,Love,"[The flowers and my love,]"
63bf7cd728ff38edfcbc4c23,James Edwin Campbell,Love,Negro Serenade
63bf7cd728ff38edfcbc4c24,Moheb Soliman,Love,The same place twice 
63bf7cd728ff38edfcbc4c25,Ameen Rihani,Love,Water and Flowers
63bf7cd728ff38edfcbc4c26,Jamil B. Holway,Love,Throbbings
63bf7cd728ff38edfcbc4c27,Jamaica Heolimeleikalani Osorio,Love,For Mauna a Wākea
63bf7cd728ff38edfcbc4c28,Craig Santos Perez,Love,Love in a Time of Covid-19
63bf7cd728ff38edfcbc4c29,Dana Naone Hall,Love,Remembering
63bf7cd728ff38edfcbc4c2a,Ameen Rihani,Love,In Memory of E. M. EL—K.
63bf7cd728ff38edfcbc4c2b,Ameen Rihani,Love,Near the Cascades
63bf7cd728ff38edfcbc4c2c,Ameen Rihani,Love,Written After Reading King Lear
63bf7cd728ff38edfcbc4c2d,Ameen Rihani,Love,"O, Sweet Sometime"
